"papers_name","papers_url","papers_autor","papers_periodo"
"Artículo II. Densidad y diversidad en nemátodos de suelo en el cultivo de café","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/8115","Chaves Gómez, María Emérita; Avelino, Jacques; Esquivel, Alejandro; Ferris, Howard; Soto, Gabriela; Staver, Charles","2014"
"Potencial de uso de armadilhas iscadas com o feromônio sexual do percevejo marrom, Euschistus heros (Heteroptera: Pentatomidae), para o monitoramento populacional de percevejos praga da soja","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6685","Pires, Carmen S.S.; Sujii, Edison R.; Schmidt, Francisco G.V.; Zarbin, Paulo H.G.; Almeida, João R.M. de; Borges, Miguel","2006"
"Cultivo de meristemas, termo y quimioterapia en chayote (Sechium edule Jacq. Sw.) para la erradicación del virus del mosaico del chayote (ChMV)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6001","Abdelnour Esquivel, Ana; Bermudez, L.C.; Alvarenga, S.; Rivera, C.","2006"
"Control biológico de malezas en Chile: experiencias para la implementación rápida de proyectos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5966","Norambuena, H.","2003"
"Factores que influyen en la abundancia de Steneotarsonemus spinki en arroz, en Cuba","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6313","Miranda Cabrera, I.; Ramos L, M.; Fernández, B.M.","2003"
"Una base agroecológica para el diseno de sistemas diversificados de cultivo en el trópico","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6873","Altieri, M.A.; Nicholls, C.I.","2004"
"Reproducción y esporulación in vitro de la bacteria Paenibacillus (=Bacillus) lentimorbus para el control de larvas de Phyllophaga elenans","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6777","Fernández Redondo, Geovanny; Hidalgo Jaminson, Eduardo; Badilla Fernández, Francisco","2005"
"Germinación y reproducción in vitro de la bacteria Paenibacillus (= Bacillus) lentimorbus","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6343","Fernández Redondo, Geovanny; Hidalgo Jaminson, Eduardo; Badilla Fernández, Francisco","2004"
"Toxicidad sobre Apis mellifera de cebos empleados en el combate de moscas de la fruta","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6858","Domínguez M, V.M.; Leyva V, J.L.; Moreno, D.S.; Trujillo A, F.J.; Alatorre R, R.; Becerril R, A.E.","2003"
"Seleçao de colonias de Beauveria bassiana resistentes a produtos fitossanitários","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6797","Cavalcanti, R.S.; Moino Jr, A.; Souza, G.C.; Duarte, A.S.M.","2004"
"Participación de las familias rurales en procesos de capacitación relacionados con plaguicidas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6635","Rugama F, R.A.; Guharay, F.","2003"
"Efecto de la infección de PVX y PVY en la producción de Solanum tuberosum en invernadero con los cultivares Floresta y Granola","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6111","Vásquez, V.; Montero Astúa, M.; Rivera, C.","2004"
"Enmiendas y microorganismos antagonistas para el manejo de Pseudomonas solanacearum en tomate","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6205","Díaz B, J.U.; Bustamante Rojas, Elkin; Sánchez G, V.; Schlonvoigt, A.","2003"
"AndinoNET: una iniciativa regional de apoyo a la taxonomía de insectos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5780","Clavijo A, J.A.","2004"
